Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Phylogenetic analysis of ORF5 and ORF7 of porcine reproductive and respiratory syndrome (PRRS) virus and the frequency of wild-type PRRS virus in Mexico,"Martinez-Bautista, N. R.; Sciutto-Conde, E.; Cervantes-Torres, J.; Segura-Velazquez, R.; Mercado Garcia, M. C.; Ramirez-Mendoza, H.; Trujillo Ortega, M. E.; Delgadillo Alvarez, J.; Castillo-Juarez, H.; Sanchez-Betancourt, J. I.",,,,TRANSBOUNDARY AND EMERGING DISEASES,AUG 2018,2018,65.0,4.0,,,,993.0,1008,,10.1111/tbed.12831,,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1
The helminth-derived peptide GK-1 induces an anti-tumoral CD8 T cell response associated with downregulation of the PD-1/PD-L1 pathway,"Rodriguez-Rodriguez, Noe; Madera-Salcedo, Iris K.; Bugarin-Estrada, Emmanuel; Sanchez-Miranda, Elizabeth; Torres-Garcia, Diana; Cervantes-Torres, Jacquelynne; Fragoso, Gladis; Rosetti, Florencia; Crispin, Jose C.; Sciutto, Edda",,,,CLINICAL IMMUNOLOGY,MAR 2020,2020,212.0,,,,,98.0,105,108240,10.1016/j.clim.2019.07.006,,,6,"1,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
Preclinical evidences of safety of a new synthetic adjuvant to formulate with the influenza human vaccine: absence of subchronic toxicity and mutagenicity,"Cervantes-Torres, Jacquelynne; Gracia-Mora, Isabel; Segura-Velazquez, Rene; Montero-Montoya, Regina; Espinosa-Aguirre, Javier; Gonsebatt, Maria E.; Camacho-Carranza, Rafael; Rivera-Huerta, Marisol; Sanchez-Bartez, Francisco; Tinoco-Mendez, Mabel; Ostrosky-Wegman, Patricia; Fragoso, Gladis; Sciutto, Edda",,,,IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,JAN 2 2019,2019,41.0,1.0,,,,140.0,149,,10.1080/08923973.2019.1566359,,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0
Characterization of a murine model of endothelial dysfunction induced by chronic intraperitoneal administration of angiotensin II,"Trejo-Moreno, Celeste; Jimenez-Ferrer, Enrique; Castro-Martinez, Gabriela; Mendez-Martinez, Marisol; Santana, Maria Angelica; Arrellin-Rosas, Gerardo; Pedraza-Chaverri, Jose; Medina-Campos, Omar Noel; Hernandez-Tellez, Beatriz; Ramirez-Pliego, Oscar; Herrera-Ruiz, Maribel; Cervantes-Torres, Jacquelynne; Alvarado-Ojeda, Zimri Aziel; Costet-Mejia, Alejandro; Fragoso, Gladis; Rosas-Salgado, Gabriela",,,,SCIENTIFIC REPORTS,OCT 27 2021,2021,11.0,1.0,,,,,,21193,10.1038/s41598-021-00676-x,,,5,"1,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
Experimental and Theoretical Approaches To Investigate the Immunogenicity of <i>Taenia solium</i>-Derived KE7 Antigen,"Bobes, Raul J.; Navarrete-Perea, Jose; Ochoa-Leyva, Adrian; Hugo Anaya, Victor; Hernandez, Marisela; Cervantes-Torres, Jacquelynne; Estrada, Karel; Sanchez-Lopez, Filiberto; Soberon, Xavier; Rosas, Gabriela; Maroni Nunes, Caris; Garcia-Varela, Martin; Rafael Sotelo-Mundo, Rogerio; Alexis Lopez-Zavala, Alonso; Gevorkian, Goar; Acero, Gonzalo; Laclette, Juan P.; Fragoso, Gladis; Sciutto, Edda",,,,INFECTION AND IMMUNITY,DEC 2017,2017,85.0,12.0,,,,,,e00395-17,10.1128/IAI.00395-17,,,5,"0,63",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
"Complete genome sequence of a novel influenza A H1N2 virus circulating in swine from Central Bajio region, Mexico","Sanchez-Betancourt, J. I.; Cervantes-Torres, J. B.; Saavedra-Montanez, M.; Segura-Velazquez, R. A.",,,,TRANSBOUNDARY AND EMERGING DISEASES,DEC 2017,2017,64.0,6.0,,,,2083.0,2092,,10.1111/tbed.12620,,,5,"0,63",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0
Influenza vaccine: Development of a novel intranasal and subcutaneous recombinant adjuvant,"Segura-Velazquez, R.; Cervantes, J.; Acosta, E.; Sanchez-Betancourt, I.; Villalobos, N.; Rodarte, L. F.; Restelli, M.; Fragoso, G.; Sciutto, E.",,,,VACCINE,AUG 20 2013,2013,31.0,37.0,,,,4009.0,4016,,10.1016/j.vaccine.2013.05.044,,,5,"0,42",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
DEVELOPMENT OF THE S3PVAC VACCINE AGAINST MURINE <i>TAENIA CRASSICEPS</i> CYSTICERCOSIS: A HISTORICAL REVIEW,"Sciutto, Edda; Fragoso, Gladis; Hernandez, Marisela; Rosas, Gabriela; Martinez, Jose J.; Fleury, Agnes; Cervantes, Jacquelynne; Aluja, Aline; Larralde, Carlos",,,,JOURNAL OF PARASITOLOGY,AUG 2013,2013,99.0,4.0,,,,693.0,702,,10.1645/GE-3101.1,,,5,"0,42",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0
An RBD-Based Diagnostic Method Useful for the Surveillance of Protective Immunity against SARS-CoV-2 in the Population,"Adriana Ayon-Nunez, Dolores; Cervantes-Torres, Jacquelynne; Cabello-Gutierrez, Carlos; Rosales-Mendoza, Sergio; Rios-Valencia, Diana; Huerta, Leonor; Bobes, Raul J.; Cesar Carrero, Julio; Segura-Velazquez, Rene; Alma Fierro, Nora; Hernandez, Marisela; Zuniga-Ramos, Joaquin; Gamba, Gerardo; Cardenas, Graciela; Frias-Jimenez, Emmanuel; Alonso Herrera, Luis; Fragoso, Gladis; Sciutto, Edda; Suarez-Guemes, Francisco; Pedro Laclette, Juan",,,,DIAGNOSTICS,JUL 2022,2022,12.0,7.0,,,,,,1629,10.3390/diagnostics12071629,,,4,"1,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Role of Systemic and Nasal Glucocorticoid Treatment in the Regulation of the Inflammatory Response in Patients with SARS-Cov-2 Infection,"Cardenas, Graciela; Torres-Garcia, Diana; Cervantes-Torres, Jacquelynne; Rosales-Mendoza, Sergio; Fleury, Agnes; Fragoso, Gladis; Laclette, Juan Pedro; Sciutto, Edda",,,,ARCHIVES OF MEDICAL RESEARCH,FEB 2021,2021,52.0,2.0,,,,143.0,150,,10.1016/j.arcmed.2020.10.014,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
High stability of the immunomodulatory GK-1 synthetic peptide measured by a reversed phase high-performance liquid chromatography method,"Cervantes-Torres, Jacquelynne; Segura-Velazquez, Rene; Padilla, Patricia; Sciutto, Edda; Fragoso, Gladis",,,,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,AUG 15 2017,2017,1060.0,,,,,97.0,102,,10.1016/j.jchromb.2017.05.027,,,4,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Towards the development of an epitope-focused vaccine for SARS-CoV-2,"Cervantes-Torres, Jacquelynne; Rosales-Mendoza, Sergio; Cabello, Carlos; Montero, Laura; Hernandez-Aceves, Juan; Granados, Guillermo; Calderon-Gallegos, Arturo; Zuniga-Flores, Francisco; Ruiz-Rivera, Mirna; Cesar Abarca-Magana, Julio; Ortega-Francisco, Sandra; Olguin-Alor, Roxana; Diaz, Georgina; Paczka-Garcia, Filipo; Zavala-Gaytan, Rubi; Vazquez-Ramirez, Ricardo; Adriana Ayon-Nunez, Dolores; Cesar Carrero, Julio; Rios, Diana; Jasso-Ramirez, Mariana; Vazquez-Hernandez, Rebeca; Venegas, David; Garzon, Daniel; Cobos, Laura; Segura-Velazquez, Rene; Villalobos, Nelly; Meneses, Gabriela; Zuniga, Joaquin; Gamba, Gerardo; Cardenas, Graciela; Hernandez, Marisela; Parkhouse, Michael E.; Romano, Marta C.; Herrera, Luis Alonso; Bobes, Raul J.; Perez-Tapia, Mayra; Huerta, Leonor; Fierro, Nora; Gracia, Isabel; Soldevilla, Gloria; Fragoso, Gladis; Suarez-Guemes, Francisco; Laclette, Juan P.; Sciutto, Edda",,,,VACCINE,OCT 26 2022,2022,40.0,45.0,,,,6489.0,6498,,10.1016/j.vaccine.2022.09.059,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Immunogenic and antigenic analysis of recombinant NSP1 and NSP11 of PRRS virus,"Josefina Contreras-Luna, Maria; Fragoso-Gonzalez, Gladis; Alvaro Segura-Velazquez, Rene; Brenda Cervantes-Torres, Jacquelynne; Alonso-Morales, Rogelio; Alfonso Ramirez-Martinez, Luis; Adriana Ayon-Nunez, Dolores; Jose Bobes, Raul; Ivan Sanchez-Betancourt, Jose",,,,VETERINARY MEDICINE AND SCIENCE,MAR 2022,2022,8.0,2.0,,,,610.0,618,,10.1002/vms3.699,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
GK-1 effectively reduces angiogenesis and prevents T cell exhaustion in a breast cancer murine experimental model,"Hernandez-Aceves, Juan A.; Cervantes-Torres, Jacquelynne; Torres-Garcia, Diana; Zuniga-Flores, Francisco J.; Patino-Chavez, Osiris J.; Agudelo, Jorge A. Pena; Aguayo-Flores, Jose Eduardo; Garfias, Yonathan; Montero-Leon, Laura; Romero-Romero, Laura; Perez-Torres, Armando; Fragoso, Gladis; Sciutto, Edda",,,,CANCER IMMUNOLOGY IMMUNOTHERAPY,NOV 2023,2023,72.0,11.0,,,,3825.0,3838,,10.1007/s00262-023-03538-9,,,1,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Natural Populations of <i>Galphimia</i> spp. Attenuates <i>In Vitro</i> and <i>In Vivo</i> Inflammatory Responses,"Gesto-Borroto, Reinier; Meneses, Gabriela; Espinosa-Ceron, Alejandro; Granados, Guillermo; Cervantes-Torres, Jacquelynne; Cardoso-Taketa, Alexandre; Sciutto, Edda; Luisa Villarreal, Maria",,,,REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY,DEC 2022,2022,32.0,6.0,,,,1025.0,1032,,10.1007/s43450-022-00325-y,,,1,"0,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Influence of adjuvants on the amount, specificity and functional activity of antibody response to human influenza vaccine in mice","Voutssas-Lara, Juan; Cervantes-Torres, Jacquelynne; Hernandez, Marisela; Bobes, Raul J.; Lamoyi, Edmundo; Vazquez-Ramirez, Ricardo A.; Mendoza, Luis; Reyes-Barrera, Karen L.; Lopez-Martinez, Rogelio; Alpuche-Solis, Angel G.; Rosales-Mendoza, Sergio; Huerta, Leonor; Fragoso, Gladis; Sciutto, Edda",,,,MOLECULAR IMMUNOLOGY,JUL 2021,2021,135.0,,,,,398.0,407,,10.1016/j.molimm.2021.05.003,,,1,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Toward a papaya-based oral vaccine against cysticercosis,"Rosales, S.; Hernandez, M.; Ortiz, A.; Cervantes, J.; Monreal, E.; Villalobos, N.; Figueroa, A.; Flores, I; Ramirez-Aquino, R.; Villarreal, M. L.; Fragoso, G.; Sciutto, E.",,,"Ortiz, GF; Castillo, EBG; Ochoa, LAL; Santamaria, JM",V INTERNATIONAL SYMPOSIUM ON PAPAYA,2019,2019,1250.0,,,,,219.0,223,,10.17660/ActaHortic.2019.1250.30,5th International Symposium on Papaya,"OCT 24-27, 2017",1,"0,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The multiepitope anticysticercosis vaccine from laboratory to the field:: Novel delivery systems and alternative routes for vaccine administration,"Sciutto, E.; Morales, J.; Rosas, G.; Fragoso, G.; Hernandez, M.; Cruz, C.; Toledo, A.; Bobes, R. J.; Huerta, M.; Diaz, A.; Meneses, G.; Cervantes, J.; Martinez, J. J.; Fleury, A.; Aluja, A.; Gevorkian, G.; Acero, G.; Golbaum, F.; Herrera-Estrella, L.; Cabrera-Ponce, J.; Lopez-Casillas, F.; Blancas, A.; Manoutcharian, K.; Larralde, C.",,,,ICOPA XI: PROCEEDINGS OF THE 11TH INTERNATIONAL CONGRESS OF PARASITOLOGY,2006,2006,,,,,,581.0,+,,,11th International Congress of Parasitology (ICOPA XI),"AUG 06-11, 2006",1,"0,05",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
