Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Comparison of HfCl<sub>4</sub>, Hfl<sub>4</sub>, TEMA-Hf, and TDMA-Hf as precursors in early growing stages of HfO<sub>2</sub> films deposited by ALD: A DFT study","Cortez-Valadez, M.; Fierro, C.; Farias-Mancilla, J. R.; Vargas-Ortiz, A.; Flores-Acosta, M.; Ramirez-Bon, R.; Enriquez-Carrejo, J. L.; Soubervielle-Montalvo, C.; Mani-Gonzalez, P. G.",,,,CHEMICAL PHYSICS,JUN 15 2016,2016,472,,,,,81,88,,10.1016/j.chemphys.2016.03.008,,,12,"1,33",0,0,0,0,0,0,0,2,2,0,3,0,5,0
Structural Aspects LiNbO<sub>3</sub> Nanoparticles and Their Ferromagnetic Properties,"Diaz-Moreno, Carlos A.; Farias-Mancilla, Rurik; Elizalde-Galindo, Jose T.; Gonzalez-Hernandez, Jesus; Hurtado-Macias, Abel; Bahena, Daniel; Jose-Yacaman, Miguel; Ramos, Manuel",,,,MATERIALS,NOV 2014,2014,7,11.0,,,,7217,7225,,10.3390/ma7117217,,,12,"1,09",0,0,0,0,0,2,3,0,2,1,0,2,1,1
Determination of the Chemical Composition of Lithium Niobate Powders,"Sanchez-Dena, Oswaldo; Villagomez, Carlos J.; Fierro-Ruiz, Cesar D.; Padilla-Robles, Artemio S.; Farias, Rurik; Vigueras-Santiago, Enrique; Hernandez-Lopez, Susana; Reyes-Esqueda, Jorge-Alejandro",,,,CRYSTALS,JUL 2019,2019,9,7.0,,,,,,340,10.3390/cryst9070340,,,11,"1,83",0,0,0,0,0,0,0,0,0,4,3,1,2,1
Preparation of hydroxyapatite nanoparticles facilitated by the presence of β-cyclodextrin,"Martinez-Perez, Carlos A.; Garcia-Montelongo, Jorge; Garcia Casillas, Perla E.; Farias-Mancilla, Jose R.; Monreal Romero, Humberto",,,,JOURNAL OF ALLOYS AND COMPOUNDS,SEP 25 2012,2012,536,,,1.0,,S432,S436,,10.1016/j.jallcom.2011.12.135,,,11,"0,85",0,0,0,2,1,0,2,2,2,0,0,1,1,0
Sol-Gel and Electrospinning Synthesis of Silica-Hydroxyapatite-Silver Nanofibers for SEIRAS and SERS,"Soto-Nieto, Fernando; Farias, Rurik; Reyes-Lopez, Simon Yobanny",,,,COATINGS,OCT 2020,2020,10,10.0,,,,,,910,10.3390/coatings10100910,,,10,2,0,0,0,0,0,0,0,0,0,0,5,1,3,1
Influence of post-deposition annealing on the chemical states of crystalline tantalum pentoxide films,"Perez, Israel; Sosa, Victor; Gamboa, Fidel; Elizalde Galindo, Jose Trinidad; Enriquez-Carrejo, Jose L.; Farias, Rurik; Mani Gonzalez, Pierre Giovanni",,,,APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,NOV 2018,2018,124,11.0,,,,,,792,10.1007/s00339-018-2198-9,,,10,"1,43",0,0,0,0,0,0,0,0,1,0,1,3,2,3
Surface Enhanced Infrared Absorption Studies of SiO<sub>2</sub>-TiO<sub>2</sub>-Ag Nanofibers: Effect of Silver Electrodeposition Time on the Amplification of Signals,"Cabello-Ribota, Blanca Selenis; Farias, Rurik; Reyes-Lopez, Simon Yobanny",,,,CRYSTALS,MAY 2021,2021,11,5.0,,,,,,563,10.3390/cryst11050563,,,9,"2,25",0,0,0,0,0,0,0,0,0,0,1,1,6,1
Sol-Gel Synthesis of Strontium Titanate Nanofibers by Electrospinning,"Roque-Ruiz, J. H.; Meraz-Angel, J.; Farias, R.; Melendez-Lira, M.; Reyes-Lopez, S. Y.",,,,JOURNAL OF CERAMIC SCIENCE AND TECHNOLOGY,MAR 2019,2019,10,1.0,,,,29,37,,10.4416/JCST2018-00072,,,8,"1,33",0,0,0,0,0,0,0,0,0,3,3,1,1,0
Experimental evidence of a non-relationship between photorefractive inhibition and photoconductivity increase in LiNbO<sub>3</sub>:Mg,"Gonzalez-Martinez, S.; Castillo-Torres, J.; Hernandez A., J.; Murrieta S., H.; Murillo, J. G.; Farias, R.",,,,OPTICS COMMUNICATIONS,MAR 15 2009,2009,282,6.0,,,,1212,1219,,10.1016/j.optcom.2008.12.016,,,5,"0,31",1,0,1,0,0,0,1,0,2,0,0,0,0,0
Understanding the growth of ZnTe nanorods by mechanochemical synthesis: the role of structural defects,"Rojas-Chavez, H.; Farias, Rurik; Cruz-Martinez, H.; Gonzalez-Dominguez, J. L.; Daneu, N.; Juarez-Garcia, J. M.; Avila-Garcia, A.; Roman-Doval, R.",,,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,JUN 2019,2019,30,12.0,,,,11291,11300,,10.1007/s10854-019-01476-w,,,4,"0,67",0,0,0,0,0,0,0,0,0,1,2,1,0,0
Study of Geopolymers Obtained from Wheat Husk Native to Northern Mexico,"Hernandez-Escobar, Claudia Alejandra; Conejo-Davila, Alain Salvador; Vega-Rios, Alejandro; Zaragoza-Contreras, Erasto Armando; Farias-Mancilla, Jose Rurik",,,,MATERIALS,MAR 2023,2023,16,5.0,,,,,,1803,10.3390/ma16051803,,,3,"1,5",0,0,0,0,0,0,0,0,0,0,0,0,2,1
Ba<sub><i>x</i></sub>Sr<sub>1-<i>x</i></sub>TiO<sub>3</sub> NANOCRYSTALLINE THIN FILMS DEPOSITION GROUNDED IN RF MAGNETRON CO-SPUTTERING,"Resendiz-Munoz, J.; Fernandez-Munoz, J. L.; Farias-Mancilla, J. R.; Melendez-Lira, M.; Medel-Juarez, J. J.; Zelaya-Angel, O.",,,,DIGEST JOURNAL OF NANOMATERIALS AND BIOSTRUCTURES,JUL-SEP 2018,2018,13,3.0,,,,751,758,,,,,3,"0,43",0,0,0,0,0,0,0,0,0,2,0,1,0,0
Synthesis of Hierarchical Dorsal Spine Ag<sub>2</sub>S Structures by a Solid-Vapor Reaction: The Effect of Reagent Gas Composition,"Muniz-Lerma, J. A.; Hernandez-Paz, J. F.; Farias-Mancilla, J. R.; Garcia Casillas, P. E.; Rodriguez Gonzalez, C. A.",,,,JOURNAL OF NANOMATERIALS,2012,2012,2012,,,,,,,749481,10.1155/2012/749481,,,3,"0,23",0,0,0,0,1,1,0,0,0,0,1,0,0,0
Airy pattern on narrow photoluminescence spectrum of band to band recombination in CdTe:Te thin films,"Becerril-Silva, M.; Melendez-Lira, M.; Farias-Mancilla, J. R.; Zelaya-Angel, O.",,,,JOURNAL OF LUMINESCENCE,FEB 2018,2018,194,,,,,565,568,,10.1016/j.jlumin.2017.09.011,,,2,"0,29",0,0,0,0,0,0,0,1,0,1,0,0,0,0
Thickness effect on the solvent sensing parameters of carbon black-polymer composites,"Vigueras Santiago, Enrique; Hernandez Lopez, Susana; Hernandez Escobar, Claudia; Zaragoza Contreras, Armando; Rurik Farias, Jose",,,"Sberveglieri, G; Ferrari, V",28TH EUROPEAN CONFERENCE ON SOLID-STATE TRANSDUCERS (EUROSENSORS 2014),2014,2014,87,,,,,184,187,,10.1016/j.proeng.2014.11.614,28th European Conference on Solid-State Transducers (EUROSENSORS),"SEP 07-10, 2014",1,"0,09",0,0,0,0,0,0,1,0,0,0,0,0,0,0
Poly-ε-Caprolactone-Hydroxyapatite-Alumina (PCL-HA-α-Al<sub>2</sub>O<sub>3</sub>) Electrospun Nanofibers in Wistar Rats,"Roberto Ruiz-Ramirez, Luis; Alvarez-Ortega, Oskar; Donohue-Cornejo, Alejandro; Francisco Espinosa-Cristobal, Leon; Rurik Farias-Mancilla, Jose; Martinez-Perez, Carlos A.; Yobanny Reyes-Lopez, Simon",,,,POLYMERS,JUN 2022,2022,14,11.0,,,,,,2130,10.3390/polym14112130,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
